ERROR - 2021-05-04 03:05:12 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:05:12')
ERROR - 2021-05-04 03:10:23 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:10:23')
ERROR - 2021-05-04 03:12:10 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:12:10')
ERROR - 2021-05-04 03:18:53 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:18:53')
ERROR - 2021-05-04 03:26:59 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:26:59')
ERROR - 2021-05-04 03:27:08 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:27:08')
ERROR - 2021-05-04 03:30:00 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:30:00')
ERROR - 2021-05-04 03:34:25 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:34:25')
ERROR - 2021-05-04 03:42:30 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 03:42:30')
ERROR - 2021-05-04 09:10:25 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 09:10:25')
ERROR - 2021-05-04 09:10:42 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 09:10:42')
ERROR - 2021-05-04 09:11:30 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 09:11:30')
ERROR - 2021-05-04 09:11:35 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 09:11:35')
ERROR - 2021-05-04 09:11:54 --> Query error: Column 'intUdId' cannot be null - Invalid query: INSERT INTO `hoo_devices` (`intUdId`, `deviceToken`, `deviceType`, `created_at`) VALUES (NULL, NULL, '1', '2021-05-04 09:11:54')
